"ISSN","TIULO","ESTRATO"
"00374466","SIBERIAN MATHEMATICAL JOURNAL","B3"
"00374474","SIBIRSKIJ MATEMATICESKIJ ZURNAL","B4"
"00375330","SILVA FENNICA","B4"
"00375349","SILVAE GENETICA","B1"
"00375497","SIMULATION (SAN DIEGO, CALIF.)","B1"
"00377686","SOCIAL COMPASS (IMPRIMÉ)","A1"
"00377732","SOCIAL FORCES","A1"
"00378682","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL (IMPRESSO)","A2"
"00378690","BOLETIM DA SOCIEDADE DE GEOGRAFIA DE LISBOA","C "
"00378712","BOLETIM DA SOCIEDADE PARANAENSE DE MATEMÁTICA","B3"
"00379174","JOURNAL DE LA SOCIÉTÉ DES AMÉRICANISTES","B1"
"00379271","ANNALES DE LA SOCIÉTÉ ENTOMOLOGIQUE DE FRANCE","B1"
"0037928X","BULLETIN DE LA SOCIÉTÉ ENTOMOLOGIQUE DE FRANCE","C "
"00379409","BULLETIN DE LA SOCIÉTÉ GÉOLOGIQUE DE FRANCE","B3"
"00379484","BULLETIN DE LA SOCIÉTÉ MATHÉMATIQUE DE FRANCE","A1"
"00379735","NEWSLETTER - SOCIETY FOR HISTORICAL ARCHAEOLOGY","B3"
"00379735","SOCIETY OF HISTORICAL ARCHAEOLOGY NEWSLETTER","B3"
"00379751","JOURNAL OF THE SOCIETY FOR PSYCHICAL RESEARCH","B5"
"00380121","SOCIO-ECONOMIC PLANNING SCIENCES","A1"
"00380261","SOCIOLOGICAL REVIEW (KEELE. PRINT)","A2"
"0038030X","SOCIOLOGIE ET SOCIÉTÉS","A2"
"00380385","SOCIOLOGY (OXFORD. PRINT)","A2"
"00380482","LETTRE INTERNATIONALE (DENMARK)","B5"
"00380644","SOFTWARE, PRACTICE & EXPERIENCE (PRINT)","A2"
"00380717","SOIL BIOLOGY & BIOCHEMISTRY","A1"
"0038075X","SOIL SCIENCE","B1"
"00380768","SOIL SCIENCE AND PLANT NUTRITION (TOKYO)","B2"
"00380806","SOIL AND FOUNDATION","A2"
"00380814","SOINS","B1"
"0038092X","SOLAR ENERGY","A1"
"00380938","SOLAR PHYSICS","A1"
"00381098","SOLID STATE COMMUNICATIONS","A2"
"00381101","SOLID-STATE ELECTRONICS","A2"
"0038223X","JOURNAL OF THE SOUTH AFRICAN INSTITUTE OF MINING AND METALLURGY","B2"
"00382280","SOUTH AFRICAN JOURNAL OF ECONOMICS","A2"
"00382337","SOUTH AFRICAN JOURNAL OF OCCUPATIONAL THERAPY","B1"
"00382353","SOUTH AFRICAN JOURNAL OF SCIENCE","A2"
"00382876","THE SOUTH ATLANTIC QUARTERLY","A1"
"00384038","SOUTHERN ECONOMIC JOURNAL","A1"
"00384283","THE SOUTHERN JOURNAL OF PHILOSOPHY","A1"
"00384348","SOUTHERN MEDICAL JOURNAL (BIRMINGHAM, ALA. PRINT)","B3"
"00386308","SPACE SCIENCE REVIEWS","A1"
"00387010","SPECTROSCOPY LETTERS (PRINT)","B1"
"00387665","SPIRITUS","C "
"00389056","STARKE (WEINHEIM)","A2"
"00390402","STATISTICA NEERLANDICA (PRINT)","B1"
"0039128X","STEROIDS (STONEHAM, MA.)","A2"
"00391735","STOMATOLOGIÂ (MOSKVA)","B3"
"00391743","STOMATOLOAJKI GLASNIK SRBIJE / SERBIAN DENTAL JOURNAL (ENGLISH)","B4"
"00392480","STROJNISKI VESTNIK","B1"
"00392499","STROKE (DALLAS. 1970)","A1"
"00392936","STUDI EMIGRAZIONE","B1"
"00393169","STUDIA GEOPHYSICA ET GEODAETICA (PRAHA)","B1"
"00393215","STUDIA LOGICA","B1"
"00393223","STUDIA MATHEMATICA","B1"
"0039324X","STUDIA METODOLOGICZNE","B1"
"00393320","STUDIA PSYCHOLOGICA (BRATISLAVA)","A2"
"00393630","STUDIES IN CONSERVATION","A2"
"00393630","STUDIES IN CONSERVATION (CESSOU EM 195U)","B2"
"00393681","STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE","A1"
"00393746","STUDIES IN PHILOSOPHY AND EDUCATION","A2"
"0039405X","STUDII SI CERCETARI LINGVISTICE","A2"
"00394734","SUGAR JOURNAL","B4"
"00396028","SURFACE SCIENCE","A1"
"00396060","SURGERY","A2"
"00396109","THE SURGICAL CLINICS OF NORTH AMERICA","B1"
"00396257","SURVEY OF OPHTHALMOLOGY","A2"
"00396265","SURVEY REVIEW","B2"
"00397660","SYLWAN","B1"
"00397857","SYNTHESE (DORDRECHT)","A1"
"00397881","SYNTHESIS (STUTTGART)","A2"
"00397911","SYNTHETIC COMMUNICATIONS","B1"
"00399140","TALANTA (OXFORD)","A1"
"00400262","TAXON","A1"
"00401625","TECHNOLOGICAL FORECASTING & SOCIAL CHANGE","A1"
"00401706","TECHNOMETRICS","A1"
"00401951","TECTONOPHYSICS (AMSTERDAM)","A1"
"00403075","LES TEMPS MODERNES (PARIS. 1945)","A1"
"00403717","TERMÉSZET VILÁGA","C "
"00404020","TETRAHEDRON (OXFORD)","B1"
"00404020","TETRAHEDRON (OXFORD. PRINT)","A2"
"00404039","TETRAHEDRON LETTERS","A2"
"00405175","TEXTILE RESEARCH JOURNAL","A1"
"00405671","THEOLOGISCHE LITERATURZEITUNG","B1"
"00405752","THEORETICAL AND APPLIED GENETICS","A1"
"00405779","THEORETICAL AND MATHEMATICAL PHYSICS","B4"
"00405795","THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING","B1"
"00405809","THEORETICAL POPULATION BIOLOGY (PRINT)","B4"
"00405825","THEORIA (LUND)","B4"
"00405833","THEORY AND DECISION","B3"
"0040585X","THEORY OF PROBABILITY AND ITS APPLICATIONS","B1"
"00406031","THERMOCHIMICA ACTA","A1"
"00406031","THERMOCHIMICA ACTA (PRINT)","A1"
"00406090","THIN SOLID FILMS","A1"
"00406376","THORAX","A1"
"00408166","TISSUE & CELL","B1"
"00408735","TOHOKU MATHEMATICAL JOURNAL","B1"
"00408891","BULLETIN OF TOKYO DENTAL COLLEGE","B2"
"00409375","TOPIQUE (PARIS)","A2"
"00409618","THE JOURNAL OF THE TORREY BOTANICAL SOCIETY","B2"
"0041008X","TOXICOLOGY AND APPLIED PHARMACOLOGY","A1"
"00410101","TOXICON","A2"
"00410101","TOXICON (OXFORD)","A2"
"00411132","TRANSFUSION (ARLINGTON, VA.)","A2"
"00411337","TRANSPLANTATION","A1"
"00411345","TRANSPLANTATION PROCEEDINGS","A2"
"00411612","TRANSPORTATION JOURNAL","B1"
"00411655","TRANSPORTATION SCIENCE","A1"
"00413011","TRIMESTRE ECONÓMICO","B1"
"00413992","TULANE LAW REVIEW","A2"
"00414301","TURKISH JOURNAL OF PEDIATRICS","B2"
"00414727","TWORCZOSC","B5"
"00415995","UKRAINIAN MATHEMATICAL JOURNAL","B4"
"0041624X","ULTRASONICS (GUILDFORD)","A2"
"00416436","UNASYLVA (ENGLISH ED. PRINT)","B1"
"00416932","REVISTA DE LA UNIÓN MATEMÁTICA ARGENTINA (1968)","B2"
"00418633","BOLETÍN MEXICANO DE DERECHO COMPARADO","A2"
"00418676","REVISTA DE LA FACULTAD DE AGRONOMÍA (LA PLATA)","B1"
"00418781","REVISTA DO HOSPITAL DAS CLÍNICAS (USP. IMPRESSO)","B3"
"00418862","REVISTA DE CIÊNCIAS SOCIAIS - UNIVERSIDADE FEDERAL DO CEARÁ - UFC - ECONOMIA E POLÍTICA","B1"
"00418994","RENDICONTI DEL SEMINARIO MATEMATICO DELL'UNIVERSITÀ DI PADOVA","B2"
"00419494","THE UNIVERSITY OF CHICAGO LAW REVIEW","A1"
"00419915","UNIVERSITY OF PITTSBURGH LAW REVIEW","A1"
"00420980","URBAN STUDIES (HARLOW)","A1"
"00420980","URBAN STUDIES (HARLOW. PRINT)","A1"
"00421022","URBANISTICA (TORINO)","B5"
"00421138","UROLOGIA INTERNATIONALIS","B2"
"0042207X","VACUUM","B1"
"0042207X","VACUUM (OXFORD)","A2"
"00422886","VATTEN","B4"
"00423114","VEHICLE SYSTEM DYNAMICS","A2"
"00423955","VERITAS (PORTO ALEGRE)","A2"
"00423955","VERITAS (PORTO ALEGRE. IMPRESSO)","A1"
"00424447","VÉRTICE (LISBOA)","B5"
"00424900","VETERINARY RECORD","A1"
"00426822","VIROLOGY (NEW YORK, N.Y. PRINT)","A1"
"00427500","VITIS","A2"
"00427543","VIVARIUM (PRINT)","A1"
"0042790X","J HYDROL HYDROMECH","B1"
"0042790X","JOURNAL OF HYDROLOGY AND HYDROMECHANICS","B1"
"00428841","VOPROSY PSIHOLOGII","B3"
"00429007","VOX SANGUINIS (BASEL. 1956)","A2"
"00429686","BULLETIN OF THE WORLD HEALTH ORGANIZATION","A1"
"00429686","BULLETIN OF THE WORLD HEALTH ORGANIZATION (PRINT)","A1"
"00431354","WATER RESEARCH (OXFORD)","A1"
"00431397","WATER RESOURCES RESEARCH","A1"
"00431648","WEAR","A1"
"00431648","WEAR (LAUSANNE)","A1"
"00431737","WEED RESEARCH (PRINT)","A2"
"00431745","WEED SCIENCE","A1"
"00432040","WEGE ZUM MENSCHEN","C "
"00432199","WEIMARER BEITRAEGE","A2"
"00432288","WELDING IN THE WORLD","B1"
"00432296","WELDING JOURNAL","A2"
"00433144","WEST INDIAN MEDICAL JOURNAL","B1"
"00435643","THE WILSON BULLETIN","B2"
"00437719","WOOD SCIENCE AND TECHNOLOGY (PRINT)","A1"
"00437956","WORD (WORCESTER)","B1"
"00438774","THE WORLD OF MUSIC (WILHELMSHAVEN)","A2"
"00439339","WORLD'S POULTRY SCIENCE JOURNAL","A2"
"00440027","ADERNAÂ FIZIKA / JOURNAL OF NUCLEAR PHYSICS","C "
"00440094","THE YALE LAW JOURNAL","A1"
"00441449","ZEITSCHRIFT FUR DIALEKTOLOGIE UND LINGUISTIK","A2"
"00442267","ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND MECHANIK","A2"
"00442275","ZEITSCHRIFT FÜR ANGEWANDTE MATHEMATIK UND PHYSIK","A2"
"00442275","ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK (PRINTED ED.)","A1"
"00442313","ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE (1950)","B1"
"00442771","ZEITSCHRIFT FUR GASTROENTEROLOGIE","B3"
"00442968","ZEITSCHRIFT FÜR KRISTALLOGRAPHIE","B2"
"00443093","ZEITSCHRIFT FÜR METALLKUNDE","B4"
"00443301","ZEITSCHRIFT FUR PHILOSOPHISCHE FORSCHUNG","C "
"00445088","ZOOLOGICA","B5"
"00445169","DER ZOOLOGISCHE GARTEN","B3"
"00445231","ZOOLOGISCHER ANZEIGER","A2"
"0044586X","ACAROLOGIA (LA VARENNE-SUR-SEINE)","B1"
"00445967","ACTA AMAZONICA","B1"
"00445967","ACTA AMAZONICA (IMPRESSO)","A2"
"00445991","ACTA HISTOCHEMICA ET CYTOCHEMICA","B3"
"00447447","AMBIO (OSLO)","A1"
"0044748X","LATINSKAÂ AMERIKA (MOSKVA)","B3"
"00448249","ANGEWANDTE CHEMIE (PRINT)","A1"
"00448435","APIDOLOGIE (CELLE)","A2"
"00448486","AQUACULTURE (AMSTERDAM)","A1"
"00448753","ARCHIVUM MATHEMATICUM (PRINT)","B4"
"00450421","AUSTRALIAN DENTAL JOURNAL (PRINT)","B1"
"00450618","AUSTRALIAN JOURNAL OF FORENSIC SCIENCE (PRINT)","B2"
"00452068","BIOORGANIC CHEMISTRY (PRINT)","B1"
"0045270X","BRASIL FLORESTAL (IMPRESSO)","B4"
"00455067","CANADIAN JOURNAL OF FOREST RESEARCH (PRINT)","A2"
"00456535","CHEMOSPHERE (OXFORD )","A1"
"00456535","CHEMOSPHERE (OXFORD)","A1"
"00456888","REVISTA CIÊNCIA AGRONÔMICA","B1"
"00456888","REVISTA CIÊNCIA AGRONÔMICA (UFC. IMPRESSO)","B1"
"00457825","COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING","A1"
"00457906","COMPUTERS & ELECTRICAL ENGINEERING","A1"
"00457930","COMPUTERS & FLUIDS","A2"
"00457949","COMPUTERS & STRUCTURES","A1"
"00458511","COPEIA","B1"
"00459739","DAVIDSONIA","C "
"0046001X","DESARROLLO ECONÓMICO (BUENOS AIRES)","A1"
"0046225X","ENVIRONMENTAL ENTOMOLOGY","A2"
"00462497","ESPACE GÉOGRAPHIQUE","B1"
"00462616","ETHNOLOGIE FRANÇAISE (PARIS)","B5"
"00462772","EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY (PRINT)","A1"
"0046354X","REVISTA DE LA FEDERACION ODONTOLOGICA COLOMBIANA","B4"
"00465070","FRESHWATER BIOLOGY (PRINT)","A1"
"00465755","GEOMETRIAE DEDICATA","B1"
"00465828","GEOTECHNICAL ENGINEERING JOURNAL OF THE SEAGS & AGSSEA","A2"
"0046760X","HISTORY OF EDUCATION (TAVISTOCK)","A1"
"00468177","HUMAN PATHOLOGY (PRINT)","A2"
"00468444","IBERO AMERICANA (STOCKHOLM)","B3"
"00468991","INDIAN JOURNAL OF MICROBIOLOGY","A2"
"00469750","JOURNAL OF THE INSTITUTE OF BREWING","A2"
"00469939","BOLETIM DO INSTITUTO DE PESCA (IMPRESSO)","B1"
"00470724","INTERNATIONAL JOURNAL OF GOVERNMENT AUDITING","C "
"00470767","INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY","A2"
"00471178","INTERNATIONAL RELATIONS (LONDON)","A1"
"00472077","JORNAL BRASILEIRO DE MEDICINA","B3"
"00472085","JORNAL BRASILEIRO DE PSIQUIATRIA","B1"
"00472085","JORNAL BRASILEIRO DE PSIQUIATRIA (UFRJ. IMPRESSO)","A2"
"00472212","JOURNAL FOR THE STUDY OF JUDAISM IN THE PERSIAN, HELLENISTIC AND ROMAN PERIOD (PRINT)","B1"
"00472352","JOURNAL OF CRIMINAL JUSTICE","A1"
"00472425","JOURNAL OF ENVIRONMENTAL QUALITY","A1"
"00472468","JOURNAL OF GEOMETRY","B3"
"00472484","JOURNAL OF HUMAN EVOLUTION","A1"
"00472506","JOURNAL OF INTERNATIONAL BUSINESS STUDIES","A1"
"00472565","JOURNAL OF MEDICAL PRIMATOLOGY","B1"
"0047259X","JOURNAL OF MULTIVARIATE ANALYSIS","A2"
"00472778","JOURNAL OF SMALL BUSINESS MANAGEMENT (PRINT)","A1"
"00472875","JOURNAL OF TRAVEL RESEARCH","A1"
"00476374","MECHANISMS OF AGEING AND DEVELOPMENT (PRINT)","A2"
"00477206","MICRON","B2"
"00478105","MOREANA","C "
"00480134","NEW ZEALAND JOURNAL OF FORESTRY SCIENCE","B2"
"00480169","NEW ZEALAND VETERINARY JOURNAL","A2"
"00483575","PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY","A1"
"00483893","PHILOSOPHIA (RAMAT GAN)","A1"
"00485772","PSYCHOPHYSIOLOGY (NEW YORK. PRINT)","B1"
"00486604","RADIO SCIENCE","A2"
"00487333","RESEARCH POLICY","A1"
"00487651","REVISTA CHILENA DE LITERATURA (IMPRESA)","A2"
"00487813","REVISTA LTR","C "
"00488402","RIVISTA ITALIANA DI SCIENZA POLITICA","B3"
"00489697","SCIENCE OF THE TOTAL ENVIRONMENT","A1"
"00490172","SEMINARS IN ARTHRITIS AND RHEUMATISM (PRINT)","A1"
"0049089X","SOCIAL SCIENCE RESEARCH (PRINT)","A1"
"00492353","STROMATA","B5"
"00493848","THROMBOSIS RESEARCH","A2"
"00494704","RENDICONTI DELL'ISTITUTO DI MATEMATICA DELL'UNIVERSITA DI TRIESTE","B4"
"00494747","TROPICAL ANIMAL HEALTH AND PRODUCTION","B1"
"00494755","TROPICAL DOCTOR","B1"
"00494763","TROPICAL GRASSLANDS","B1"
"00496979","WATER, AIR AND SOIL POLLUTION","A1"
"00496979","WATER, AIR AND SOIL POLLUTION (PRINT)","A1"
"00498114","WEEKLY EPIDEMIOLOGICAL RECORD","B1"
"00498246","X-RAY SPECTROMETRY","B1"
"00498254","XENOBIOTICA (LONDON. PRINT)","B2"
"00498661","ZEITSCHRIFT FUER ROMANISCHE PHILOLOGIE","A2"
"00502030","JOURNAL OF STEM CELLS AND REGENERATIVE MEDICINE","B3"
"00651036","ACTA ARITHMETICA","B1"
"00651281","ACTA HISTOCHEMICA (PRINT)","B1"
"00651400","ACTA NEUROBIOLOGIAE EXPERIMENTALIS (DRUK)","B1"
"00651419","ACTA NEUROCHIRURGICA, SUPPLEMENT (ONLINE)","B3"
"00651583","ACTA PROTOZOOLOGICA (DRUK)","B1"
"00651729","ACTA ZOOLOGICA LILLOANA","B5"
"00651737","ACTA ZOOLÓGICA MEXICANA","B1"
"00652113","ADVANCES IN AGRONOMY","A1"
"00652296","ADVANCES IN BOTANICAL RESEARCH","B1"
"0065230X","ADVANCES IN CANCER RESEARCH","A1"
"00652504","ADVANCES IN ECOLOGICAL RESEARCH","A2"
"00652571","ADVANCES IN ENZYME REGULATION","B5"
"00652598","ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY","B1"
"00652687","ADVANCES IN GEOPHYSICS","A1"
"00652806","ADVANCES IN INSECT PHYSIOLOGY","A1"
"00652881","ADVANCES IN MARINE BIOLOGY","A1"
"00653071","ADVANCES IN OTO-RHINO-LARYNGOLOGY","B5"
"0065308X","ADVANCES IN PARASITOLOGY","A1"
"00653101","ADVANCES IN PEDIATRICS","B2"
"00653160","ADVANCES IN PHYSICAL ORGANIC CHEMISTRY","B2"
"00653233","ADVANCES IN PROTEIN CHEMISTRY (PRINT)","B5"
"00653276","ADVANCES IN QUANTUM CHEMISTRY","B3"
"00653438","ADVANCES IN THE ASTRONAUTICAL SCIENCES","B3"
"00653454","ADVANCES IN THE STUDY OF BEHAVIOR","B1"
"00657727","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY","C "
"00657727","ABSTRACTS OF PAPERS. AMERICAN CHEMICAL SOCIETY","B2"
"00657778","TRANSACTIONS OF THE AMERICAN CLINICAL AND CLIMATOLOGICAL ASSOCIATION.","B2"
"00659266","MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY","B3"
"00659533","TRANSACTIONS OF THE AMERICAN OPHTHALMOLOGICAL SOCIETY ANNUAL MEETING","B3"
"00662216","ANNALES POLONICI MATHEMATICI","B3"
"00664170","ANNUAL REVIEW OF ENTOMOLOGY (PRINT)","A1"
"00664219","ANNUAL REVIEW OF MEDICINE (PRINT)","A1"
"00664227","ANNUAL REVIEW OF MICROBIOLOGY (PRINT)","A1"
"0066426X","ANNUAL REVIEW OF PHYSICAL CHEMISTRY (PRINT)","A1"
"00664286","ANNUAL REVIEW OF PHYTOPATHOLOGY (PRINT)","A1"
"00664308","ANNUAL REVIEW OF PSYCHOLOGY (PRINT)","A1"
"00664677","ANTHROPOLOGICAL FORUM: A JOURNAL OF SOCIAL ANTHROPOLOGY AND COMPARATIVE SOCIOLOGY","B2"
"00664804","ANTIMICROBIAL AGENTS AND CHEMOTHERAPY","A1"
"00664804","ANTIMICROBIAL AGENTS AND CHEMOTHERAPY (PRINT)","A1"
"00664812","ANTIPODE (OXFORD. PRINT)","A1"
"00665126","ANUARIO DE PSICOLOGÍA","B1"
"00665452","APPLIED MATHEMATICAL SCIENCES","B3"
"00666513","ARCHIV FÜR VÖLKERKUNDE","B3"
"0066782X","ARQUIVOS BRASILEIROS DE CARDIOLOGIA","A2"
"0066782X","ARQUIVOS BRASILEIROS DE CARDIOLOGIA (IMPRESSO)","A2"
"00667870","ARQUIVOS DE ZOOLOGIA","B4"
"00670049","THE ASTROPHYSICAL JOURNAL. SUPPLEMENT SERIES","A1"
"00671924","AUSTRALIAN JOURNAL OF BOTANY (PRINT)","B1"
"00679615","BOLETIM DE INDÚSTRIA ANIMAL (IMPRESSO)","B2"
"0067964X","BOLETIM PARANAENSE DE GEOCIÊNCIAS","B1"
"00684023","BULLETIN DE PHILOSOPHIE MÉDIÉVALE","A1"
"00690058","CANADIAN YEARBOOK OF INTERNATIONAL LAW/ANNUAIRE CANADIEN DE DROIT INTERNATIONAL","B1"
"0070217X","CURRENT TOPICS IN MICROBIOLOGY AND IMMUNOLOGY","A1"
"00706760","DIX-HUITIÈME SIÈCLE","B1"
"00707333","DROSOPHILA INFORMATION SERVICE","B5"
"00711365","ESSAYS IN BIOCHEMISTRY","A2"
"00712477","PUBLICATION - EUROPEAN ASSOCIATION FOR ANIMAL PRODUCTION","C "
"00713260","EVOLUTIONARY BIOLOGY","A2"
"00720992","GEOLOGIA COLOMBIANA","B4"
"00721050","GEOLOGICAL JOURNAL (CHICHESTER)","A2"
"00721077","GEOLOGICAL SOCIETY OF AMERICA SPECIAL PAPER","B2"
"00731579","HEGEL-JAHRBUCH","A2"
"00732435","HISTORIA (SANTIAGO. IMPRESA)","B1"
"00732877","HOEHNEA (S<U+F1C3>O PAULO)","B1"
"00733407","EL HORNERO (BUENOS AIRES)","B4"
"00734675","IDESIA (ARICA)","B1"
"00734675","IDESIA (ARICA. IMPRESA)","B1"
"00734705","IHERINGIA. SÉRIE BOTÂNICA","B1"
"00734721","IHERINGIA. SÉRIE ZOOLOGIA","B2"
"00734721","IHERINGIA. SÉRIE ZOOLOGIA (IMPRESSO)","B1"
"00738301","PUBLICATIONS MATHÉMATIQUES (BURES-SUR-YVETTE)","A1"
"00739855","REVISTA DO INSTITUTO ADOLFO LUTZ","B4"
"00739855","REVISTA DO INSTITUTO ADOLFO LUTZ (IMPRESSO)","B2"
"00740055","BOLETIM DO INSTITUTO DE BOTANICA (SAO PAULO)","C "
"00740276","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ","B2"
"00740276","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)","A2"
"00740276","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO).","B1"
"00747742","INTERNATIONAL REVIEW OF NEUROBIOLOGY","B1"
"00749664","INTERNATIONAL ZOO YEARBOOK","B2"
"00752517","JAHRBUCH DES OFFENTLICHEN RECHTS DER GEGENWART","A1"
"00752517","JAHRBUCH DES ÖFFENTLICHEN RECHTS DER GEGENWART","B1"
"00754102","JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK","A1"
"00754358","JOURNAL OF ROMAN STUDIES","A1"
"00755974","KEW BULLETIN","B2"
"00759481","LILLOA","B5"
"00759511","LIMNOLOGICA (JENA)","A2"
"00761508","LUSITÂNIA SACRA","B3"
"00762997","MALACOLOGIA","A2"
"00763519","MAMMALIAN SPECIES (PRINT)","B3"
"00766046","MEDICINA (USP.FMRP)","B2"
"00766879","METHODS IN ENZYMOLOGY (PRINT)","B3"
"00768855","REVISTA DO TRIBUNAL REGIONAL DO TRABALHO 3. REGIAO","C "
"00771813","MUELLERIA","C "
"00772232","BOLETIM DO MUSEU PARAENSE EMÍLIO GOELDI. ZOOLOGIA","C "
"00777749","NEUES JAHRBUCH FUR GEOLOGIE UND PALAONTOLOGIE. ABHANDLUNGEN","B1"
"00778923","ANNALS OF THE NEW YORK ACADEMY OF SCIENCES","A1"
"00780421","NEWSLETTERS ON STRATIGRAPHY","A2"
"00783218","OCEANOGRAPHY AND MARINE BIOLOGY","A1"
"00785466","OPTICA APPLICATA","B5"
"00792047","PHYTON (HORN)","B2"
"00796107","PROGRESS IN BIOPHYSICS AND MOLECULAR BIOLOGY","A2"
"00796123","PROGRESS IN BRAIN RESEARCH","A2"
"00796425","PROGRESS IN MATERIALS SCIENCE","A1"
"00796565","PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY","A1"
"00796611","PROGRESS IN OCEANOGRAPHY","A1"
"00796786","PROGRESS IN SOLID STATE CHEMISTRY","A1"
"00798835","MEMOIRS OF THE QUEENSLAND MUSEUM","B2"
"00800244","ESTUDOS GEOLÓGICOS","B4"
"00800244","ESTUDOS GEOLÓGICOS. SÉRIE B, ESTUDOS E PESQUISAS (UFPE)","B4"
"00802085","REVISTA CARTOGRÁFICA","B5"
"00802107","RAUSP-E - REVISTA DE ADMINISTRAÇ<U+F1C3>O - ELETRÔNICA","A2"
"00802107","RAUSP - REVISTA DE ADMINISTRAÇ<U+F1C3>O (FEA-USP)","A2"
"00802107","RAUSP. REVISTA DE ADMINISTRAÇ<U+F1C3>O","A2"
"00802107","RAUSP. REVISTA DE ADMINISTRAÇ<U+F1C3>O DA UNIVERSIDADE DE S<U+F1C3>O PAULO","A2"
"0080312X","BOLETIM DO MUSEU NACIONAL. ZOOLOGIA","C "
"00803200","MUSEU NACIONAL. BOLETIM. GEOLOGIA","B5"
"00803898","ROMANISTISCHES JAHRBUCH","B1"
"00804622","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON. BIOLOGICAL SCIENCES","A1"
"00806234","REVISTA DA ESCOLA DE ENFERMAGEM DA USP","A2"
"00810282","SMITHSONIAN CONTRIBUTIONS TO ZOOLOGY","C "
"00810606","SOCIALIST REGISTER","B3"
"00811947","SOLID STATE PHYSICS","B1"
"00813869","SPRINGER TRACTS IN MODERN PHYSICS","B5"
"00816906","STUDIA SCIENTIARUM MATHEMATICARUM HUNGARICA (PRINT)","B2"
"00820598","SYDOWIA","B1"
"00836729","VITAMINS AND HORMONES","B2"
"00837792","WEBBIA","B3"
"00846570","ANNUAL REVIEW OF ANTHROPOLOGY (PRINT)","A1"
"00846597","ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES (PRINT)","A2"
"00847747","ANNUAL REPORT OF THE BEAN IMPROVEMENT COOPERATIVE","B3"
"00852538","KIDNEY INTERNATIONAL","A1"
"00855626","REVISTA BRASILEIRA DE ENTOMOLOGIA (IMPRESSO)","A2"
"00900036","AMERICAN JOURNAL OF PUBLIC HEALTH (1971)","A1"
"00900656","FISHERY BULLETIN (WASHINGTON, D.C.)","B1"
"00902977","NEUROPHYSIOLOGY (NEW YORK)","B2"
"00903493","CRITICAL CARE MEDICINE","A1"
"00903558","JOURNAL OF WILDLIFE DISEASES","A2"
"00903752","NUCLEAR DATA SHEETS (NEW YORK, N.Y.)","A2"
"00903973","JOURNAL OF TESTING AND EVALUATION","B1"
"00904295","UROLOGY (RIDGEWOOD, N.J.)","A2"
"00904341","ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","A2"
"00904341","ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY (PRINT)","A2"
"00905364","ANNALS OF STATISTICS","A1"
"00905917","POLITICAL THEORY","A2"
"00906778","IEEE TRANSACTIONS ON COMMUNICATIONS","A1"
"00906778","IEEE TRANSACTIONS ON COMMUNICATIONS (PRINT)","A1"
"00906905","JOURNAL OF PSYCHOLINGUISTIC RESEARCH","A2"
"00906964","ANNALS OF BIOMEDICAL ENGINEERING","A1"
"00908258","GYNECOLOGIC ONCOLOGY (PRINT)","A1"
"00908339","JOURNAL OF INTEGRATED COASTAL ZONE MANAGEMENT","B1"
"00908738","JOURNAL OF THE BROMELIAD SOCIETY","C "
"00909556","DRUG METABOLISM AND DISPOSITION","A2"
"0091150X","PHARMACEUTICAL CHEMISTRY JOURNAL","B5"
"00911798","ANNALS OF PROBABILITY","A1"
"00912131","ETHOS (BERKELEY)","B1"
"00912174","INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE (PRINT)","B1"
"00912700","JOURNAL OF CLINICAL PHARMACOLOGY","B1"
"00912751","JOURNAL OF CLINICAL ULTRASOUND (PRINT)","B3"
"00913057","PHARMACOLOGY, BIOCHEMISTRY AND BEHAVIOR","A1"
"00913286","OPTICAL ENGINEERING (BELLINGHAM)","B1"
"00913286","OPTICAL ENGINEERING (BELLINGHAM. PRINT)","A2"
"00913367","JOURNAL OF ADVERTISING","A1"
