"ISSN","TIULO","ESTRATO"
"00028614","JOURNAL OF THE AMERICAN GERIATRICS SOCIETY","A1"
"00028703","THE AMERICAN HEART JOURNAL","A1"
"00029092","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","A1"
"00029122","AMERICAN JOURNAL OF BOTANY","A1"
"00029149","THE AMERICAN JOURNAL OF CARDIOLOGY","A1"
"00029173","AMERICAN JOURNAL OF CLINICAL PATHOLOGY","A2"
"00029254","AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE","B1"
"00029262","AMERICAN JOURNAL OF EPIDEMIOLOGY","A1"
"00029270","THE AMERICAN JOURNAL OF GASTROENTEROLOGY","A1"
"00029297","AMERICAN JOURNAL OF HUMAN GENETICS","A1"
"00029327","AMERICAN JOURNAL OF MATHEMATICS (PRINT)","A1"
"00029343","THE AMERICAN JOURNAL OF MEDICINE","A1"
"0002936X","THE AMERICAN JOURNAL NURSING","A1"
"00029378","AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY (PRINT)","A1"
"00029394","AMERICAN JOURNAL OF OPHTHALMOLOGY","A1"
"00029440","THE AMERICAN JOURNAL OF PATHOLOGY","A2"
"00029440","THE AMERICAN JOURNAL OF PATHOLOGY (PRINT)","A1"
"00029459","AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION","B1"
"00029483","AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY","A2"
"00029505","AMERICAN JOURNAL OF PHYSICS","A1"
"0002953X","THE AMERICAN JOURNAL OF PSYCHIATRY","A1"
"00029548","THE AMERICAN JOURNAL OF PSYCHOANALYSIS","B1"
"00029599","AMERICAN JOURNAL OF SCIENCE (1880)","A1"
"00029602","AMERICAN JOURNAL OF SOCIOLOGY","A1"
"00029610","THE AMERICAN JOURNAL OF SURGERY","B1"
"00029629","THE AMERICAN JOURNAL OF THE MEDICAL SCIENCES (PRINT)","B1"
"00029637","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","A2"
