"TITULO","ISSN","AREA","ESTRATO"
"ACTUALIDADES EN PSICOLOGÍA","22153535","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"ACTUEL MARX","19696728","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"ADM. MADE (UNIVERSIDADE ESTÁCIO DE SÁ)","15189929","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"ADM.MADE","22375139","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"ADMINISTRATION & SOCIETY","00953997","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"ADMINISTRAÇÃO DE EMPRESAS EM REVISTA","23167548","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"ADMINISTRAÇÃO EM DIÁLOGO","15165779","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL","21755787","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"ADMINISTRAÇÃO: ENSINO E PESQUISA","21776083","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"ADMINISTRAÇÃO: ENSINO E PESQUISA (RAEP)","23580917","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"ADMPG: GESTÃO ESTRATÉGICA.","19837089","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"ADOLESCÊNCIA & SAÚDE (UERJ)","16799941","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"ADVANCES IN ACCOUNTING","08826110","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"ADVANCES IN CONSUMER RESEARCH","00989258","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"ADVANCES IN DAIRY RESEARCH","2329888X","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"ADVANCES IN FORESTRY SCIENCE","23578181","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING","21945357","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"ADVANCES IN INTERNATIONAL MARKETING","14747979","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"ADVANCES IN SCIENTIFIC AND APPLIED ACCOUNTING","19838611","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"AEDOS: REVISTA DO CORPO DISCENTE DO PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA DA UFRGS (ONLINE)","19845634","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AFRICAN DEVELOPMENT REVIEW (PRINT)","10176772","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"AFRICAN JOURNAL OF ACCOUNTING, AUDITING AND FINANCE (ONLINE)","20468091","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"AGENDA POLÍTICA","23188499","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"AGENDA SOCIAL (UENF)","19819862","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"AGORA (FLORIANOPOLIS)","01033557","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AGORA (UNC)","01047507","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AGRARIAN (DOURADOS. ONLINE)","19842538","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"AGRIBUSINESS (NEW YORK, N.Y. PRINT)","07424477","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"AGRICULTURA FAMILIAR (UFPA)","14140810","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AGRICULTURA FAMILIAR EN ESPAÑA","18879292","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AGRICULTURAL AND FOOD ECONOMICS","21937532","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"AGRICULTURAL AND RESOURCE ECONOMICS REVIEW","10682805","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"AGRICULTURAL SYSTEMS","0308521X","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"AGRIREGIONI EUROPA","18285880","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AGRO@MBIENTE ON-LINE","19828470","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"AGROALIMENTARIA (CARACAS)","13160354","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"AGROANALYSIS (FGV)","01004298","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AGROCIENCIA (MONTEVIDEO)","15100839","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"AGRONOMY JOURNAL (PRINT)","00021962","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"AGROPAMPA: REVISTA DE GESTÃO DO AGRONEGÓCIO","2525877X","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"AGROPECUÁRIA TÉCNICA (UFPB)","01007467","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AGUA Y TERRITORIO","23407743","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"ALCANCE (UNIVALI)","14132591","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"ALCEU (PUCRJ)","15188728","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"ALETHEIA (ULBRA)","14130394","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"ALMANAQUE MULTIDISCIPLINAR DE PESQUISA","23596651","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"ALMATOURISM - JOURNAL OF TOURISM, CULTURE AND TERRITORIAL DEVELOPMENT","20365195","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"ALTUS CIÊNCIAS","23184817","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AMAZONIA INVESTIGA","23226307","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AMAZÔNIA (BANCO DA AMAZÔNIA. 2005)","18094058","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B5"
"AMAZÔNIA (UFPA)","23175125","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AMAZÔNIA EM FOCO: CIÊNCIA E TECNOLOGIA","23174757","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AMAZÔNIA, ORGANIZAÇÕES E SUSTENTABILIDADE","22388893","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"AMAZÔNICA - REVISTA DE PSICOPEDAGOGIA, PSICOLOGIA ESCOLAR E EDUCAÇÃO","19833415","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AMBIENTE & SOCIEDADE (ONLINE)","18094422","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"AMBIENTE CONSTRUÍDO (ONLINE)","16788621","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B2"
"AMBIENTE E SOCIEDADE (CAMPINAS)","1414753X","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B1"
"AMBIÊNCIA","18080251","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"AMBIÊNCIA (ONLINE)","21759405","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"AMERICA LATINA EN MOVIMIENTO","13901230","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY","19457731","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
